LocationID,Borough,Zone,service_zone
1,EWR,Newark Airport,EWR
4,Manhattan,Alphabet City,Yellow Zone
13,Manhattan,Battery Park City,Yellow Zone
24,Manhattan,Bloomingdale,Yellow Zone
41,Manhattan,Central Harlem,Boro Zone
42,Manhattan,Central Harlem North,Boro Zone
43,Manhattan,Central Park,Yellow Zone
45,Manhattan,Chinatown,Yellow Zone
48,Manhattan,Clinton East,Yellow Zone
50,Manhattan,Clinton West,Yellow Zone
68,Manhattan,East Chelsea,Yellow Zone
74,Manhattan,East Harlem North,Boro Zone
79,Manhattan,East Village,Yellow Zone
87,Manhattan,Financial District North,Yellow Zone
88,Manhattan,Financial District South,Yellow Zone
90,Manhattan,Flatiron,Yellow Zone
100,Manhattan,Garment District,Yellow Zone
107,Manhattan,Gramercy,Yellow Zone
113,Manhattan,Greenwich Village North,Yellow Zone
114,Manhattan,Greenwich Village South,Yellow Zone
125,Manhattan,Hudson Sq,Yellow Zone
137,Manhattan,Kips Bay,Yellow Zone
140,Manhattan,Lenox Hill East,Yellow Zone
141,Manhattan,Lenox Hill West,Yellow Zone
142,Manhattan,Lincoln Square East,Yellow Zone
143,Manhattan,Lincoln Square West,Yellow Zone
144,Manhattan,Little Italy/NoLiTa,Yellow Zone
148,Manhattan,Lower East Side,Yellow Zone
158,Manhattan,Meatpacking/West Village West,Yellow Zone
161,Manhattan,Midtown Center,Yellow Zone
162,Manhattan,Midtown East,Yellow Zone
163,Manhattan,Midtown North,Yellow Zone
164,Manhattan,Midtown South,Yellow Zone
170,Manhattan,Murray Hill,Yellow Zone
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone
230,Manhattan,Times Sq/Theatre District,Yellow Zone
231,Manhattan,TriBeCa/Civic Center,Yellow Zone
234,Manhattan,Union Sq,Yellow Zone
236,Manhattan,Upper East Side North,Yellow Zone
237,Manhattan,Upper East Side South,Yellow Zone
238,Manhattan,Upper West Side North,Yellow Zone
239,Manhattan,Upper West Side South,Yellow Zone
161,Manhattan,Midtown Cntr,Yellow Zone
237,Manhattan,UES South,Yellow Zone
7,Queens,Astoria,Boro Zone
70,Queens,Long Island City/Queens Plaza,Boro Zone
138,Queens,LaGuardia Airport,Airports
132,Queens,JFK Airport,Airports
33,Brooklyn,Brooklyn Heights,Boro Zone
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
255,Brooklyn,Williamsburg (North Side),Boro Zone
