VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
2,2025-08-01 00:15:15,2025-08-01 00:19:24,2,0.95,1,N,113,68,1,6.5,1.0,0.5,2.0,0.0,1.0,14.25,2.5,0.0,0.75
2,2025-08-01 00:33:09,2025-08-01 00:45:09,1,3.77,1,N,79,263,1,17.0,1.0,0.5,4.55,0.0,1.0,27.3,2.5,0.0,0.75
2,2025-08-01 01:33:30,2025-08-01 01:51:41,1,3.9,1,N,163,7,4,20.5,1.0,0.5,0.0,0.0,1.0,26.25,2.5,0.0,0.75
2,2025-08-01 02:00:01,2025-08-01 02:27:49,2,21.43,1,N,132,66,1,78.6,1.0,0.5,9.94,0.0,1.0,92.79,0.0,1.75,0.0
1,2025-08-01 05:21:44,2025-08-01 05:32:47,1,3.1,1,N,100,75,1,14.9,4.25,0.5,6.0,0.0,1.0,26.65,2.5,0.0,0.75
1,2025-08-01 05:24:58,2025-08-01 05:49:40,1,4.8,1,N,238,234,1,24.7,4.25,0.5,7.6,0.0,1.0,38.05,2.5,0.0,0.75
2,2025-08-01 06:49:08,2025-08-01 06:59:15,1,1.96,1,N,249,137,1,12.1,0.0,0.5,3.37,0.0,1.0,20.22,2.5,0.0,0.75
2,2025-08-01 07:22:22,2025-08-01 08:14:49,1,17.72,2,N,132,141,1,70.0,0.0,0.5,12.52,6.94,1.0,95.96,2.5,1.75,0.75
1,2025-08-01 07:52:42,2025-08-01 08:01:53,1,1.6,1,N,90,233,2,10.0,3.25,0.5,0.0,0.0,1.0,14.75,2.5,0.0,0.75
2,2025-08-01 08:11:27,2025-08-01 08:25:53,1,1.35,1,N,186,170,1,13.5,0.0,0.5,0.0,0.0,1.0,18.25,2.5,0.0,0.75
1,2025-08-01 08:29:32,2025-08-01 08:35:33,1,1.3,1,N,236,237,2,7.9,2.5,0.5,0.0,0.0,1.0,11.9,2.5,0.0,0.0
1,2025-08-01 08:33:15,2025-08-01 08:46:56,1,3.3,1,N,234,65,2,17.0,3.25,0.5,0.0,0.0,1.0,21.75,2.5,0.0,0.75
2,2025-08-01 08:38:20,2025-08-01 08:53:11,1,1.99,1,N,237,75,1,15.6,0.0,0.5,1.42,0.0,1.0,21.77,2.5,0.0,0.75
2,2025-08-01 08:46:30,2025-08-01 09:04:03,1,2.77,1,N,170,263,1,18.4,0.0,0.5,3.0,0.0,1.0,26.15,2.5,0.0,0.75
2,2025-08-01 08:55:51,2025-08-01 09:12:06,1,5.61,1,N,137,65,2,25.4,0.0,0.5,0.0,0.0,1.0,30.15,2.5,0.0,0.75
2,2025-08-01 09:16:34,2025-08-01 09:46:04,1,9.85,1,N,138,246,1,42.2,5.0,0.5,11.0,6.94,1.0,71.64,2.5,1.75,0.75
2,2025-08-01 09:19:39,2025-08-01 09:34:42,1,3.31,1,N,234,140,1,18.4,0.0,0.5,4.0,0.0,1.0,27.15,2.5,0.0,0.75
2,2025-08-01 09:25:28,2025-08-01 09:29:57,1,0.61,1,N,43,237,1,6.5,0.0,0.5,2.25,0.0,1.0,13.5,2.5,0.0,0.75
2,2025-08-01 09:26:01,2025-08-01 09:29:56,1,0.74,1,N,262,140,1,5.8,0.0,0.5,1.96,0.0,1.0,11.76,2.5,0.0,0.0
2,2025-08-01 09:34:03,2025-08-01 09:38:34,1,1.16,1,N,262,229,1,7.9,0.0,0.5,1.0,0.0,1.0,13.65,2.5,0.0,0.75
2,2025-08-01 09:52:16,2025-08-01 10:00:22,1,0.97,1,N,107,137,3,9.3,0.0,0.5,0.0,0.0,1.0,14.05,2.5,0.0,0.75
2,2025-08-01 09:55:27,2025-08-01 10:08:43,1,1.62,1,N,161,237,1,12.8,0.0,0.5,1.0,0.0,1.0,18.55,2.5,0.0,0.75
